"Name","Team","Pos","Injury / Surgery Date","Injury / Surgery","Status","IL Retro Date","Eligible to Return","Return Date","Latest Update"
"Ji Hwan Bae","PIT","INF/OF","03/05/24","Strained hip","Activated","03/25/24","04/04/24","04/15/24","Activated"
"Nathaniel Lowe","TEX","1B","03/05/24","Strained oblique","Activated","03/25/24","04/04/24","04/20/24","Activated"
"Oswald Peraza","NYY","INF","03/06/24","Strained shoulder","Activated","03/25/24","04/04/24","05/19/24","Activated"
"Scott Alexander","OAK","RP","03/06/24","Stress reaction in rib","Activated","03/25/24","04/09/24","05/21/24","Activated"
"Sam Hentges","CLE","SP","03/08/24","Finger inflammation","Activated","03/25/24","04/09/24","05/06/24","Activated"
"Blake Treinen","LAD","RP","03/09/24","Bruised lung","Activated","03/17/24","04/07/24","05/05/24","Activated"
"Edward Cabrera","MIA","RP","03/10/24","Shoulder impingement","Activated","03/25/24","04/09/24","04/15/24","Activated"
"Jonny DeLuca","TBR","OF","03/10/24","Fractured hand","Activated","03/25/24","04/04/24","05/03/24","Activated"
"Rob Refsnyder","BOS","OF","03/12/24","Fractured toe","Activated","03/25/24","04/04/24","04/18/24","Activated"
"Josh Taylor","KCR","RP","03/12/24","Biceps soreness","Activated","03/25/24","05/24/24","09/30/24","Activated"
"Taj Bradley","TBR","SP","03/12/24","Strained pectoral","Activated","03/25/24","04/09/24","05/08/24","Activated"
"Jhoan Duran","MIN","RP","03/13/24","Strained oblique","Activated","03/25/24","04/09/24","04/30/24","Activated"
"Ethan Small","SFG","RP","03/13/24","Strained oblique","Activated","03/28/24","05/27/24","08/16/24","Activated"
"Danny Jansen","TOR","C","03/13/24","Fractured pisiform bone (right wrist)","Activated","03/25/24","04/04/24","04/15/24","Activated"
"TJ Friedl","CIN","OF","03/16/24","Non-displaced wrist fracture","Activated","03/25/24","04/04/24","05/07/24","Activated"
"Brandon Williamson","CIN","SP","03/17/24","Strained shoulder","Activated","03/25/24","05/24/24","09/01/24","Activated"
"Jonathan Aranda","TBR","INF/OF","03/17/24","Fractured finger (right ring)","Activated","03/25/24","04/04/24","05/14/24","Activated"
"Josh Lowe","TBR","OF","03/17/24","Strained oblique","Activated","03/25/24","04/04/24","05/06/24","Activated"
"Paul Sewald","ARI","RP","03/23/24","Strained oblique","Activated","03/25/24","04/09/24","05/07/24","Activated"
"Taijuan Walker","PHI","SP","03/23/24","Shoulder impingement","Activated","03/25/24","04/09/24","04/28/24","Activated"
"Garrett Mitchell","MIL","OF","03/24/24","Fractured finger (left index)","Activated","03/25/24","05/24/24","07/01/24","Activated"
"Sean Reid-Foley","NYM","RP","03/24/24","Shoulder impingement","Activated","03/25/24","04/09/24","04/22/24","Activated"
"Dylan Carlson","STL","OF","03/25/24","Sprained shoulder (AC joint)","Activated","03/26/24","04/05/24","05/05/24","Activated"
"Matt McLain","CIN","2B","03/26/24","Shoulder surgery","Activated","03/25/24","04/04/24","09/30/24","Activated"
"Royce Lewis","MIN","3B","03/28/24","Strained quad","Activated","03/29/24","04/08/24","06/04/24","Activated"
"Nick Senzel","WSN","3B","03/28/24","Fractured thumb (right)","Activated","03/27/24","04/06/24","04/15/24","Activated"
"Sean Murphy","ATL","C","03/29/24","Strained oblique","Activated","03/30/24","04/09/24","05/27/24","Activated"
"Cionel Pérez","BAL","RP","03/30/24","Strained oblique","Activated","03/31/24","04/15/24","04/29/24","Activated"
"Trevor Megill","MIL","RP","03/30/24","Concussion","Activated","03/31/24","04/07/24","04/19/24","Activated"
"Tylor Megill","NYM","SP","03/31/24","Strained shoulder","Activated","04/01/24","04/16/24","05/20/24","Activated"
"Matt Carpenter","STL","1B","04/01/24","Strained oblique","Activated","04/02/24","04/12/24","05/11/24","Activated"
"Josh Jung","TEX","3B","04/01/24","Wrist surgery","Activated","04/02/24","06/01/24","07/29/24","Activated"
"Jakob Junis","MIL","SP","04/02/24","Shoulder impingement","Activated","04/03/24","06/02/24","06/21/24","Activated"
"Bennett Sousa","HOU","RP","04/03/24","Thoracic outlet syndrome surgery","Activated","03/25/24","05/24/24","09/30/24","Activated"
"Trevor Story","BOS","SS","04/05/24","Shoulder surgery (fractured glenoid)","Activated","04/06/24","06/05/24","09/07/24","Activated"
"Julian Merryweather","CHC","RP","04/05/24","Rib stress fracture","Activated","04/06/24","06/05/24","07/22/24","Activated"
"Ryan Borucki","PIT","RP","04/05/24","Triceps inflammation","Activated","04/06/24","06/05/24","09/01/24","Activated"
"Josh Sborz","TEX","RP","04/06/24","Strained shoulder (rotator cuff)","Activated","04/07/24","04/22/24","04/25/24","Activated"
"Guillo Zuñiga","LAA","RP","04/07/24","Strained pectoral","Activated","04/08/24","04/23/24","05/25/24","Activated"
"Brent Rooker","OAK","OF","04/07/24","Costochondral cartilage injury","Activated","04/08/24","04/18/24","04/19/24","Activated"
"Justin Foscue","TEX","INF","04/07/24","Strained oblique","Activated","04/08/24","06/07/24","06/26/24","Activated"
"Cody Bolton","SEA","RP","04/08/24","Kidney stones","Activated","04/06/24","04/21/24","04/21/24","Activated"
"Connor Brogdon","LAD","RP","04/09/24","Plantar fascitis","Activated","04/10/24","06/09/24","09/30/24","Activated"
"Keibert Ruiz","WSN","C","04/09/24","Influenza","Activated","04/12/24","04/22/24","04/25/24","Activated"
"Romy Gonzalez","BOS","INF/OF","04/10/24","Sprained wrist","Activated","04/11/24","04/21/24","05/08/24","Activated"
"Bobby Miller","LAD","SP","04/10/24","Shoulder inflammation","Activated","04/11/24","04/26/24","06/19/24","Activated"
"Brandon Lowe","TBR","2B","04/10/24","Strained oblique","Activated","04/09/24","04/19/24","05/20/24","Activated"
"Isaiah Campbell","BOS","RP","04/11/24","Shoulder impingement","Activated","04/12/24","04/27/24","06/06/24","Activated"
"Carlos Correa","MIN","SS","04/12/24","Strained oblique","Activated","04/13/24","04/23/24","04/29/24","Activated"
"Angel Martínez","CLE","INF","04/13/24","Fractured hamate","Activated","03/25/24","05/24/24","05/29/24","Activated"
"J.B. Bukauskas","MIL","RP","04/13/24","Strained triceps","Activated","04/14/24","06/13/24","09/30/24","Activated"
"Seiya Suzuki","CHC","OF","04/14/24","Strained oblique","Activated","04/15/24","04/25/24","05/10/24","Activated"
"Jake Burger","MIA","3B/1B","04/14/24","Strained oblique","Activated","04/15/24","04/25/24","05/06/24","Activated"
"Yu Darvish","SDP","SP","04/14/24","Neck tightness","Activated","04/15/24","04/30/24","04/30/24","Activated"
"Dominic Canzone","SEA","OF","04/14/24","Sprained shoulder (AC joint)","Activated","04/15/24","04/25/24","05/15/24","Activated"
"Ozzie Albies","ATL","2B","04/15/24","Fractured toe","Activated","04/16/24","04/26/24","04/26/24","Activated"
"Tyler O'Neill","BOS","OF","04/15/24","Concussion","Activated","04/16/24","04/23/24","04/23/24","Activated"
"Chad Green","TOR","RP","04/15/24","Strained shoulder (teres major)","Activated","04/17/24","05/02/24","05/28/24","Activated"
"Luis Frías","ARI","RP","04/16/24","Shoulder inflammation","Activated","04/17/24","05/02/24","06/06/24","Activated"
"Eli Morgan","CLE","RP","04/16/24","Shoulder inflammation","Activated","04/17/24","05/02/24","05/28/24","Activated"
"Kyle Hurt","LAD","SP","04/16/24","Shoulder inflammation","Activated","04/17/24","06/16/24","06/21/24","Activated"
"Nick Burdi","NYY","RP","04/16/24","Hip inflammation","Activated","04/17/24","05/02/24","05/10/24","Activated"
"Brock Burke","TEX","RP","04/18/24","Hand surgery (non-throwing)","Activated","04/13/24","06/12/24","06/12/24","Activated"
"A.J. Puk","MIA","RP","04/19/24","Shoulder fatigue","Activated","04/20/24","05/05/24","05/13/24","Activated"
"Miguel Castro","ARI","RP","04/20/24","Shoulder inflammation","Activated","04/21/24","05/06/24","07/11/24","Activated"
"Triston Casas","BOS","1B","04/20/24","Torn rib cartilage","Activated","04/21/24","06/20/24","08/16/24","Activated"
"Merrill Kelly","ARI","SP","04/21/24","Strained shoulder","Activated","04/20/24","06/19/24","08/11/24","Activated"
"Drew Smyly","CHC","RP","04/21/24","Hip impingement","Activated","04/22/24","05/07/24","05/25/24","Activated"
"Cristian Javier","HOU","SP","04/21/24","Neck discomfort","Activated","04/18/24","05/03/24","05/11/24","Activated"
"Cody Bellinger","CHC","OF","04/23/24","Fractured rib","Activated","04/24/24","05/04/24","05/07/24","Activated"
"Drew Smith","NYM","RP","04/23/24","Shoulder inflammation","Activated","04/24/24","05/09/24","06/02/24","Activated"
"Francisco Alvarez","NYM","C","04/23/24","Thumb surgery (torn ligament)","Activated","04/20/24","04/30/24","06/11/24","Activated"
"Zack Gelof","OAK","2B","04/23/24","Strained oblique","Activated","04/24/24","05/04/24","05/14/24","Activated"
"J.P. Crawford","SEA","SS","04/23/24","Strained oblique","Activated","04/24/24","05/04/24","05/20/24","Activated"
"Robert Garcia","WSN","RP","04/23/24","Influenza","Activated","04/21/24","05/06/24","05/07/24","Activated"
"Joey Gallo","WSN","1B/OF","04/26/24","Sprained shoulder (AC joint)","Activated","04/27/24","05/07/24","05/17/24","Activated"
"Grae Kessinger","HOU","INF","04/27/24","Shoulder discomfort","Activated","04/28/24","05/08/24","05/10/24","Activated"
"José Cisnero","LAA","RP","04/27/24","Shoulder inflammation","Activated","04/28/24","06/27/24","08/17/24","Activated"
"Masataka Yoshida","BOS","OF","04/28/24","Sprained thumb","Activated","04/29/24","05/09/24","06/11/24","Activated"
"Grayson Rodriguez","BAL","SP","04/29/24","Shoulder inflammation","Activated","04/30/24","05/15/24","05/18/24","Activated"
"Yunior Marte","PHI","RP","04/30/24","Shoulder inflammation","Activated","05/01/24","05/16/24","06/25/24","Activated"
"Kyle Nelson","ARI","RP","May '24","Thoracic outlet syndrome surgery","Activated","04/23/24","06/22/24","09/30/24","Activated"
"Brock Stewart","MIN","RP","05/01/24","Shoulder tendinitis","Activated","05/02/24","07/01/24","07/24/24","Activated"
"Drew Rom","STL","SP","May '24","Arthroscopic shoulder surgery","Activated","03/25/24","05/24/24","09/30/24","Activated"
"Jacob Waguespack","TBR","SP","05/02/24","Strained shoulder","Activated","05/06/24","07/05/24","09/30/24","Activated"
"Shintaro Fujinami","NYM","RP","05/03/24","Strained shoulder","Activated","05/13/24","07/12/24","07/26/24","Activated"
"Patrick Bailey","SFG","C","05/03/24","Concussion","Activated","05/04/24","05/11/24","05/11/24","Activated"
"Luis Rengifo","LAA","INF","05/04/24","Viral infection","Activated","05/06/24","05/16/24","05/16/24","Activated"
"Jorge Soler","SFG","OF","05/04/24","Strained shoulder","Activated","05/05/24","05/15/24","05/17/24","Activated"
"Dane Dunning","TEX","SP","05/04/24","Strained shoulder (rotator cuff)","Activated","05/05/24","05/20/24","05/22/24","Activated"
"Joe Kelly","LAD","RP","05/05/24","Strained shoulder","Activated","05/06/24","07/05/24","07/19/24","Activated"
"Giovanny Gallegos","STL","RP","05/05/24","Shoulder impingement","Activated","05/06/24","05/21/24","06/21/24","Activated"
"Ryan Pepiot","TBR","SP","05/05/24","Leg contusion","Activated","05/06/24","05/21/24","05/22/24","Activated"
"Daniel Palencia","CHC","RP","05/06/24","Shoulder tightness","Activated","05/07/24","05/22/24","06/03/24","Activated"
"Edward Cabrera","MIA","SP","05/07/24","Shoulder impingement","Activated","05/08/24","07/07/24","07/07/24","Activated"
"Josh Sborz","TEX","RP","05/08/24","Strained shoulder (rotator cuff)","Activated","05/09/24","05/24/24","07/05/24","Activated"
"Nick Ahmed","SFG","SS","05/09/24","Sprained wrist","Activated","05/10/24","05/20/24","06/14/24","Activated"
"Austin Slater","SFG","OF","05/10/24","Concussion","Activated","05/11/24","05/18/24","06/05/24","Activated"
"Shelby Miller","DET","RP","05/11/24","Ulnar nerve inflammation","Activated","05/12/24","05/27/24","06/04/24","Activated"
"Patrick Bailey","SFG","C","05/11/24","Concussion","Activated","05/12/24","05/19/24","05/21/24","Activated"
"TJ Friedl","CIN","OF","05/12/24","Fractured thumb (left)","Activated","05/13/24","05/23/24","05/29/24","Activated"
"Bryan Ramos","CHW","3B","05/14/24","Strained quad","Activated","05/15/24","05/25/24","05/25/24","Activated"
"Max Muncy","LAD","3B","05/15/24","Strained oblique","Activated","05/16/24","07/15/24","08/19/24","Activated"
"Justin Wilson","CIN","RP","05/16/24","Shoulder tightness","Activated","05/17/24","06/01/24","06/02/24","Activated"
"Sam Haggerty","SEA","INF/OF","05/18/24","Torn Achilles' tendon","Activated","05/27/24","07/26/24","09/30/24","Activated"
"Emilio Pagán","CIN","RP","05/19/24","Triceps tightness","Activated","05/20/24","06/04/24","06/06/24","Activated"
"Dean Kremer","BAL","SP","05/20/24","Strained triceps","Activated","05/21/24","06/05/24","07/03/24","Activated"
"Xander Bogaerts","SDP","2B","05/20/24","Fractured shoulder","Activated","05/21/24","05/31/24","07/12/24","Activated"
"Carlos Carrasco","CLE","SP","05/21/24","Neck spasm","Activated","05/18/24","06/02/24","06/02/24","Activated"
"Josh Lowe","TBR","OF","05/22/24","Strained oblique","Activated","05/23/24","06/02/24","06/03/24","Activated"
"AJ Smith-Shawver","ATL","SP","05/23/24","Strained oblique","Activated","05/24/24","06/08/24","07/09/24","Activated"
"Nick Burdi","NYY","RP","05/23/24","Hip inflammation","Activated","05/24/24","07/23/24","08/01/24","Activated"
"Kyle Muller","OAK","RP","05/24/24","Shoulder tendinitis","Activated","05/27/24","06/11/24","07/07/24","Activated"
"Justin Lawrence","COL","RP","05/25/24","Strained shoulder","Activated","05/26/24","06/10/24","06/17/24","Activated"
"Jordan Beck","COL","OF","05/25/24","Fractured hand","Activated","05/26/24","06/05/24","08/03/24","Activated"
"Edwin Díaz","NYM","RP","05/25/24","Shoulder impingement","Activated","05/26/24","06/10/24","06/13/24","Activated"
"Lucas Erceg","OAK","RP","05/25/24","Strained oblique","Activated","05/26/24","06/10/24","06/12/24","Activated"
"Kerry Carpenter","DET","OF","05/26/24","Stress fracture (lumbar spine)","Activated","05/27/24","07/26/24","08/13/24","Activated"
"Joey Bart","PIT","C","05/26/24","Thumb discomfort","Activated","05/27/24","06/06/24","06/30/24","Activated"
"A.J. Minter","ATL","RP","05/29/24","Hip inflammation","Activated","05/30/24","06/14/24","07/01/24","Activated"
"Alika Williams","PIT","INF","05/29/24","Sprained wrist","Activated","05/30/24","06/09/24","06/19/24","Activated"
"Gabe Speier","SEA","RP","05/29/24","Strained shoulder (rotator cuff)","Activated","05/30/24","06/14/24","07/19/24","Activated"
"Lars Nootbaar","STL","OF","05/30/24","Strained oblique","Activated","05/31/24","06/15/24","07/08/24","Activated"
"Sixto Sánchez","MIA","SP","05/31/24","Shoulder inflammation","Activated","06/01/24","07/31/24","09/30/24","Activated"
"Andrew Benintendi","CHW","OF","06/01/24","Achilles tendinitis","Activated","06/02/24","06/12/24","06/12/24","Activated"
"Fernando Tatis Jr.","SDP","OF","Jun '24","Femoral stress reaction","Activated","06/22/24","08/21/24","09/02/24","Activated"
"Jorge Mateo","BAL","INF/OF","06/02/24","Concussion","Activated","06/03/24","06/10/24","06/11/24","Activated"
"Dominic Fletcher","CHW","OF","06/02/24","Sprained shoulder (AC joint)","Activated","06/03/24","06/13/24","07/11/24","Activated"
"Kris Bryant","COL","1B/OF","06/02/24","Rib contusion","Activated","06/03/24","06/13/24","07/23/24","Activated"
"Ji Hwan Bae","PIT","INF/OF","06/02/24","Sprained wrist","Activated","06/03/24","06/13/24","06/24/24","Activated"
"Kyle Tucker","HOU","OF","06/03/24","Fractured shin","Activated","06/04/24","08/03/24","09/06/24","Activated"
"Alex Faedo","DET","RP","06/04/24","Hip inflammation","Activated","06/05/24","06/20/24","06/27/24","Activated"
"Jung Hoo Lee","SFG","OF","06/04/24","Shoulder surgery (torn labrum)","Activated","05/13/24","07/12/24","09/30/24","Activated"
"Jimmy Herget","ATL","RP","06/05/24","Shoulder inflammation","Activated","06/06/24","06/21/24","07/27/24","Activated"
"Nick Madrigal","CHC","INF","06/05/24","Fractured pinky (left)","Activated","09/01/24","10/31/24","09/30/24","Activated"
"Max Stassi","CHW","C","06/07/24","Hip surgery (surfacing procedure)","Activated","03/25/24","05/24/24","09/30/24","Activated"
"Ryan Weathers","MIA","SP","06/07/24","Strained finger (left index)","Activated","06/08/24","08/07/24","09/18/24","Activated"
"Ty France","SEA","1B","06/07/24","Fractured heel","Activated","06/08/24","06/18/24","06/18/24","Activated"
"Ben Brown","CHC","SP","06/08/24","Stress reaction in neck","Activated","06/09/24","08/08/24","09/30/24","Activated"
"Hunter Renfroe","KCR","OF","06/10/24","Fractured toe","Activated","06/11/24","06/21/24","06/21/24","Activated"
"Josh Rogers","COL","C","06/12/24","Strained rotator cuff","Activated","06/14/24","06/29/24","07/14/24","Activated"
"Cody Poteet","NYY","SP","06/12/24","Strained triceps","Activated","06/15/24","08/14/24","09/20/24","Activated"
"Hunter Stratton","PIT","RP","06/13/24","Strained triceps","Activated","06/14/24","06/29/24","07/26/24","Activated"
"Jordan Wicks","CHC","SP","06/14/24","Strained oblique","Activated","06/15/24","08/14/24","09/01/24","Activated"
"Adam Cimber","LAA","RP","06/14/24","Shoulder inflammation","Activated","06/15/24","06/30/24","07/22/24","Activated"
"Henry Davis","PIT","C","06/14/24","Concussion","Activated","06/15/24","06/22/24","07/07/24","Activated"
"Justin Verlander","HOU","SP","06/15/24","Neck discomfort","Activated","06/15/24","06/30/24","08/21/24","Activated"
"Yoshinobu Yamamoto","LAD","SP","06/15/24","Strained rotator cuff","Activated","06/16/24","08/15/24","09/10/24","Activated"
"Mookie Betts","LAD","OF","06/16/24","Fractured hand","Activated","06/17/24","06/27/24","08/12/24","Activated"
"Jesús Luzardo","MIA","SP","06/16/24","Lumbar stress reaction","Activated","06/19/24","08/18/24","09/30/24","Activated"
"José Soriano","LAA","SP","06/17/24","Abdomen infection","Activated","06/17/24","07/02/24","07/02/24","Activated"
"Cole Winn","TEX","RP","06/17/24","Shoulder discomfort","Activated","06/18/24","08/17/24","09/30/24","Activated"
"Walker Buehler","LAD","SP","06/18/24","Hip discomfort","Activated","06/19/24","07/04/24","08/14/24","Activated"
"Dan Altavilla","KCR","RP","06/19/24","Strained oblique","Activated","06/20/24","08/19/24","09/05/24","Activated"
"Sean Reid-Foley","NYM","RP","06/19/24","Shoulder impingement","Activated","06/20/24","08/19/24","09/30/24","Activated"
"Dany Jiménez","OAK","RP","06/19/24","Strained oblique","Activated","06/20/24","07/05/24","08/18/24","Activated"
"David Bednar","PIT","RP","06/19/24","Strained oblique","Activated","06/20/24","07/05/24","07/12/24","Activated"
"Adael Amador","COL","2B","06/20/24","Strained oblique","Activated","06/21/24","07/01/24","07/03/24","Activated"
"Luis Campusano","SDP","C","06/20/24","Thumb contusion","Activated","06/21/24","07/01/24","07/05/24","Activated"
"Mike Yastrzemski","SFG","OF","06/20/24","Strained oblique","Activated","06/21/24","07/01/24","07/02/24","Activated"
"Gabriel Moreno","ARI","C","06/21/24","Sprained thumb","Activated","06/22/24","07/02/24","07/02/24","Activated"
"Jake Bloss","HOU","SP","06/21/24","Shoulder discomfort","Activated","06/22/24","07/07/24","07/11/24","Activated"
"Chris Paddack","MIN","SP","06/21/24","Shoulder fatigue","Activated","06/22/24","07/07/24","07/08/24","Activated"
"Taijuan Walker","PHI","SP","06/21/24","Finger inflammation (right index)","Activated","06/22/24","07/07/24","08/13/24","Activated"
"Adam Frazier","KCR","2B/OF","06/22/24","Sprained thumb","Activated","06/23/24","07/03/24","07/05/24","Activated"
"Nick Lodolo","CIN","SP","06/23/24","Finger blister","Activated","06/24/24","07/09/24","07/09/24","Activated"
"Brian Anderson","ATL","INF/OF","06/24/24","Bacterial infection","Activated","06/22/24","07/02/24","07/10/24","Activated"
"Will Brennan","CLE","OF","06/24/24","Rib cage inflammation","Activated","06/25/24","07/05/24","07/11/24","Activated"
"Ramón Laureano","ATL","OF","06/26/24","Strained oblique","Activated","07/09/24","07/19/24","07/19/24","Activated"
"Keegan Thompson","CHC","RP","06/26/24","Fractured rib","Activated","06/27/24","07/12/24","08/07/24","Activated"
"Thairo Estrada","SFG","2B","06/27/24","Sprained wrist","Activated","06/28/24","07/08/24","07/09/24","Activated"
"Joey Ortiz","MIL","INF","07/01/24","Neck inflammation","Activated","07/02/24","07/12/24","07/12/24","Activated"
"J.P. France","HOU","SP","07/02/24","Shoulder surgery (capsule tear)","Activated","08/20/24","10/19/24","09/30/24","Activated"
"Luis Rengifo","LAA","INF","07/03/24","Wrist inflammation","Activated","07/04/24","07/14/24","07/23/24","Activated"
"Dane Dunning","TEX","SP","07/03/24","Shoulder discomfort","Activated","07/04/24","07/19/24","07/25/24","Activated"
"Austin Martin","MIN","OF/INF","07/05/24","Strained oblique","Activated","07/06/24","07/16/24","07/20/24","Activated"
"Colten Brewer","CHC","RP","07/06/24","Fractured hand (left)","Activated","07/07/24","09/05/24","09/30/24","Activated"
"Stuart Fairchild","CIN","OF","07/06/24","Spine disc injury","Activated","07/07/24","07/17/24","07/19/24","Activated"
"Bailey Falter","PIT","SP","07/06/24","Triceps tendinitis","Activated","07/07/24","07/22/24","07/29/24","Activated"
"Tyler Soderstrom","OAK","1B","07/09/24","Wrist bone bruise (left)","Activated","07/10/24","07/20/24","09/14/24","Activated"
"Cody Bellinger","CHC","OF/1B","07/10/24","Fractured finger (left middle)","Activated","07/11/24","07/21/24","07/29/24","Activated"
"Nick Martini","CIN","OF/1B","07/10/24","Thumb surgery (ligament repair)","Activated","07/07/24","09/05/24","09/24/24","Activated"
"Kyle Farmer","MIN","INF","07/10/24","Strained shoulder","Activated","07/11/24","07/21/24","08/09/24","Activated"
"Christian Encarnacion-Strand","CIN","1B","07/11/24","Wrist surgery (ulnar styloid fracture)","Activated","05/08/24","07/07/24","09/30/24","Activated"
"J.D. Davis","NYY","1B/3B","07/11/24","Stomach flu","Activated","07/09/24","07/19/24","07/19/24","Activated"
"Heston Kjerstad","BAL","OF","07/12/24","Concussion","Activated","07/13/24","07/20/24","07/20/24","Activated"
"Yency Almonte","CHC","RP","07/12/24","Shoulder surgery (labral repair)","Activated","05/08/24","07/07/24","09/30/24","Activated"
"Luke Little","CHC","RP","07/12/24","Strained shoulder","Activated","07/13/24","09/11/24","09/30/24","Activated"
"Carson Spiers","CIN","SP","07/12/24","Shoulder impingement","Activated","07/13/24","07/28/24","07/29/24","Activated"
"Carlos Correa","MIN","SS","07/12/24","Plantar fascitis","Activated","07/16/24","07/26/24","09/14/24","Activated"
"Jose Trevino","NYY","C","07/12/24","Strained quad","Activated","07/13/24","07/23/24","08/15/24","Activated"
"Michael Soroka","CHW","RP","07/14/24","Strained shoulder","Activated","07/16/24","07/31/24","09/21/24","Activated"
"Jordan Leasure","CHW","RP","07/14/24","Shoulder impingement","Activated","07/17/24","08/01/24","09/21/24","Activated"
"Brent Suter","CIN","RP","07/19/24","Strained shoulder","Activated","07/20/24","08/04/24","09/01/24","Activated"
"Reese Olson","DET","SP","07/20/24","Strained shoulder","Activated","07/21/24","08/05/24","09/16/24","Activated"
"Kody Funderburk","MIN","RP","07/20/24","Strained oblique","Activated","07/18/24","09/16/24","09/27/24","Activated"
"Ozzie Albies","ATL","2B","07/21/24","Fractured wrist","Activated","07/22/24","08/01/24","09/20/24","Activated"
"Mason Miller","OAK","RP","07/22/24","Fractured hand (left)","Activated","07/23/24","08/07/24","08/07/24","Activated"
"J.P. Crawford","SEA","SS","07/22/24","Fractured hand (right pinkie)","Activated","07/23/24","08/02/24","08/28/24","Activated"
"Bryan Hudson","MIL","RP","07/23/24","Strained oblique","Activated","07/24/24","08/08/24","08/12/24","Activated"
"Jordan Weems","WSN","RP","07/24/24","Shin splints","Activated","07/25/24","08/09/24","09/30/24","Activated"
"Thairo Estrada","SFG","2B","07/25/24","Sprained wrist","Activated","07/26/24","08/05/24","08/19/24","Activated"
"Alex Wood","OAK","SP","07/26/24","Arthroscopic shoulder surgery","Activated","05/13/24","07/12/24","09/30/24","Activated"
"Christian Walker","ARI","1B","07/29/24","Strained oblique","Activated","07/30/24","08/09/24","09/03/24","Activated"
"Heston Kjerstad","BAL","OF","07/29/24","Concussion","Activated","07/31/24","08/10/24","09/15/24","Activated"
"Carmen Mlodzinski","PIT","RP","07/29/24","Strained shoulder","Activated","07/30/24","08/14/24","08/27/24","Activated"
"Max Scherzer","TEX","SP","07/30/24","Shoulder fatigue","Activated","07/31/24","08/15/24","09/14/24","Activated"
"Jordan Westburg","BAL","INF","07/31/24","Fractured hand (right)","Activated","08/01/24","08/11/24","09/22/24","Activated"
"Gregory Santos","SEA","RP","07/31/24","Biceps inflammation","Activated","08/01/24","08/16/24","09/23/24","Activated"
"Mike Clevinger","CHW","SP","08/01/24","Neck surgery (disc replacement)","Activated","05/25/24","07/24/24","09/30/24","Activated"
"Brock Stewart","MIN","RP","Aug '24","Arthroscopic shoulder surgery","Activated","07/30/24","09/28/24","09/30/24","Activated"
"Michael Siani","STL","OF","08/03/24","Strained oblique","Activated","08/04/24","08/14/24","09/01/24","Activated"
"Blake Treinen","LAD","RP","08/04/24","Hip discomfort","Activated","08/05/24","08/20/24","08/21/24","Activated"
"Nick Fortes","MIA","C","08/05/24","Strained quad","Activated","08/06/24","08/16/24","08/16/24","Activated"
"Luis Rengifo","LAA","INF","08/06/24","Wrist surgery","Activated","08/03/24","10/02/24","09/30/24","Activated"
"Carlos Carrasco","CLE","SP","08/07/24","Strained hip","Activated","08/08/24","08/23/24","09/17/24","Activated"
"Ryan Feltner","COL","SP","08/07/24","Strained shoulder","Activated","08/08/24","08/23/24","08/26/24","Activated"
"Joe Ryan","MIN","SP","08/07/24","Strained shoulder (teres major)","Activated","08/08/24","10/07/24","09/30/24","Activated"
"Brooks Lee","MIN","INF","08/07/24","Biceps tendinitis","Activated","08/08/24","08/18/24","09/01/24","Activated"
"Colin Holderman","PIT","RP","08/07/24","Sprained wrist","Activated","08/08/24","08/23/24","09/01/24","Activated"
"Josh Sborz","TEX","RP","08/07/24","Shoulder fatigue","Activated","08/08/24","08/23/24","09/24/24","Activated"
"Hoby Milner","MIL","RP","08/08/24","Shoulder impingement","Activated","08/09/24","08/24/24","09/03/24","Activated"
"Wenceel Pérez","DET","OF","08/09/24","Strained oblique","Activated","08/10/24","08/20/24","09/12/24","Activated"
"Christian Roa","CIN","SP","08/10/24","Sprained shoulder","Activated","08/19/24","10/18/24","09/30/24","Activated"
"Anthony Bender","MIA","RP","08/10/24","Shoulder impingement","Activated","08/12/24","08/27/24","09/07/24","Activated"
"Byron Buxton","MIN","OF","08/12/24","Hip inflammation","Activated","08/13/24","08/23/24","09/12/24","Activated"
"Alex Cobb","CLE","SP","08/14/24","Fractured nail (right hand)","Activated","08/16/24","08/31/24","09/01/24","Activated"
"Zack Littell","TBR","SP","08/14/24","Shoulder fatigue","Activated","08/15/24","08/30/24","09/01/24","Activated"
"Zach Eflin","BAL","SP","08/15/24","Shoulder inflammation","Activated","08/17/24","09/01/24","09/01/24","Activated"
"José Soriano","LAA","SP","08/16/24","Arm fatigue","Activated","08/17/24","10/16/24","09/30/24","Activated"
"Scott Alexander","OAK","RP","08/17/24","Rotator cuff tendinitis","Activated","08/18/24","09/02/24","09/04/24","Activated"
"Austin Riley","ATL","3B","08/18/24","Fractured hand","Activated","08/19/24","08/29/24","09/30/24","Activated"
"Andrew Abbott","CIN","SP","08/18/24","Strained shoulder","Activated","08/20/24","09/04/24","09/30/24","Activated"
"Austin Barnes","LAD","C","08/18/24","Fractured toe","Activated","08/19/24","08/29/24","08/29/24","Activated"
"Patrick Bailey","SFG","C","08/18/24","Strained oblique","Activated","08/19/24","08/29/24","08/29/24","Activated"
"Tyler Mahle","TEX","SP","08/18/24","Shoulder tightness","Activated","08/19/24","10/18/24","09/30/24","Activated"
"Jeimer Candelario","CIN","1B/3B","08/19/24","Fractured toe","Activated","08/20/24","08/30/24","09/30/24","Activated"
