"Name","Team","Pos","Injury / Surgery Date","Injury / Surgery","Status","IL Retro Date","Eligible to Return","Return Date","Latest Update"
"Otto Lopez","MIA","INF","06/30/24","Lower back inflammation","Activated","07/01/24","07/11/24","07/19/24","Activated"
"Luke Maile","CIN","C","07/04/24","Herniated disc in back","Activated","07/05/24","07/15/24","08/02/24","Activated"
"Tyler Glasnow","LAD","SP","07/05/24","Lower back tightness","Activated","07/06/24","07/21/24","07/24/24","Activated"
"Jose Miranda","MIN","3B/1B","07/10/24","Strained lower back","Activated","07/11/24","07/21/24","07/27/24","Activated"
"Nolan Jones","COL","OF","07/11/24","Strained lower back","Activated","07/12/24","07/22/24","08/18/24","Activated"
"Ranger Suárez","PHI","SP","07/22/24","Lower back soreness","Activated","07/24/24","08/08/24","08/24/24","Activated"
"Trevor Megill","MIL","RP","07/23/24","Strained lower back","Activated","07/26/24","08/10/24","08/20/24","Activated"
"Anthony Rendon","LAA","3B","07/26/24","Lower back inflammation","Activated","07/27/24","08/06/24","08/06/24","Activated"
"Hunter Harvey","KCR","RP","08/04/24","Back tightness","Activated","08/07/24","08/22/24","09/30/24","Activated"
"Matt Carpenter","STL","1B","08/07/24","Strained lower back","Activated","08/09/24","08/19/24","08/20/24","Activated"
"Kris Bryant","COL","1B/OF","08/10/24","Strained back","Activated","08/11/24","08/21/24","09/30/24","Activated"
"Ryan Pressly","HOU","RP","08/13/24","Strained lower back","Activated","08/14/24","08/29/24","08/29/24","Activated"
"Steven Wilson","CHW","RP","08/14/24","Strained lower back","Activated","08/15/24","08/30/24","09/30/24","Activated"
"Christian Yelich","MIL","OF","08/16/24","Back surgery","Activated","07/24/24","09/22/24","09/30/24","Activated"
"Ke'Bryan Hayes","PIT","3B","08/17/24","Lower back inflammation","Activated","08/18/24","08/28/24","09/30/24","Activated"
"Luis Gil","NYY","SP","08/20/24","Strained lower back","Activated","08/21/24","09/05/24","09/05/24","Activated"
"Xavier Edwards","MIA","SS","08/23/24","Back discomfort","Activated","08/24/24","09/03/24","09/03/24","Activated"
"Will Smith","KCR","RP","08/25/24","Lower back spasms","Activated","08/26/24","09/10/24","09/30/24","Activated"
"Edmundo Sosa","PHI","INF","09/06/24","Back spasms","Activated","09/07/24","09/17/24","09/17/24","Activated"
"Ross Stripling","OAK","RP","09/08/24","Strained lower back","Activated","09/09/24","09/24/24","09/27/24","Activated"
"Matt Foster","CHW","RP","09/11/24","Lower back disc herniation","Activated","09/12/24","09/27/24","09/30/24","Activated"
"Steven Kwan","CLE","OF","09/12/24","Back inflammation","Activated","09/14/24","09/24/24","09/25/24","Activated"
"Mason McCoy","SDP","INF","09/14/24","Back inflammation","Activated","09/19/24","09/29/24","09/30/24","Activated"
"Tayler Scott","HOU","RP","09/16/24","Strained back","Activated","09/18/24","10/03/24","09/30/24","Activated"
